time_stamp,d_id,temp
2019-07-13 14:33:35,1115198,318
2019-07-13 14:38:10,1115198,316
2019-07-13 14:43:10,1115198,317
2019-07-13 14:48:10,1115198,321
2019-07-13 14:53:10,1115198,319
2019-07-13 14:58:10,1115198,319
2019-07-13 15:03:10,1115198,319
2019-07-13 15:08:11,1115198,306
2019-07-13 15:13:11,1115198,306
2019-07-13 15:18:10,1115198,304
2019-07-13 15:23:10,1115198,307
2019-07-13 15:27:03,1115198,308
2019-07-13 15:32:04,1115198,308
2019-07-13 15:37:04,1115198,304
2019-07-13 15:42:04,1115198,305
2019-07-13 15:47:03,1115198,307
2019-07-13 15:52:04,1115198,307
2019-07-13 16:00:24,1115198,307
2019-07-13 16:05:24,1115198,307
2019-07-13 16:10:24,1115198,307
2019-07-13 16:15:24,1115198,305
2019-07-13 16:20:24,1115198,303
2019-07-13 16:25:24,1115198,304
2019-07-13 16:30:24,1115198,303
2019-07-13 16:35:24,1115198,325
2019-07-13 16:40:24,1115198,330
2019-07-13 16:45:24,1115198,329
2019-07-13 16:50:24,1115198,329
2019-07-13 17:09:18,1115198,303
2019-07-13 17:14:19,1115198,313
2019-07-13 17:19:18,1115198,317
2019-07-13 17:24:18,1115198,320
2019-07-13 17:29:18,1115198,320
2019-07-13 17:34:18,1115198,319
2019-07-13 17:39:18,1115198,329
2019-07-13 17:44:18,1115198,333
2019-07-13 17:49:18,1115198,329
2019-07-13 17:54:18,1115198,334
2019-07-13 17:59:18,1115198,339
2019-07-13 18:04:18,1115198,308
2019-07-13 18:09:18,1115198,308
2019-07-13 18:14:18,1115198,313
2019-07-13 18:19:18,1115198,305
2019-07-13 18:24:18,1115198,308
2019-07-13 18:29:18,1115198,308
2019-07-13 18:34:18,1115198,307
