time_stamp,d_id,ldr
2019-06-29 12:52:04,1115198,1024
2019-06-29 12:57:04,1115198,1024
2019-06-29 12:58:15,1115198,1024
2019-06-29 12:59:26,1115198,51
2019-06-29 13:00:38,1115198,192
2019-06-29 13:01:03,1115198,815
2019-06-29 13:01:26,1115198,860
2019-06-29 13:06:26,1115198,1024
2019-06-29 13:11:26,1115198,227
